epoch,categorical_accuracy,loss
0,0.9326833486557007,0.24071775376796722
1,0.9519833326339722,0.1689845770597458
2,0.9630166888237,0.13196763396263123
3,0.9692500233650208,0.10779672116041183
4,0.9741833209991455,0.0909222736954689
